date,month,avg_temp
2017-10-28,10,17.2
2017-10-29,10,11.5
2017-10-30,10,7.7
2017-10-31,10,10.4
2017-11-01,11,14.4
2017-11-02,11,15.5
2017-11-03,11,12.3
2017-11-04,11,7.8
2017-11-05,11,8.4
2017-11-06,11,11.4
2017-11-07,11,14.4
2017-11-08,11,13.1
2017-11-09,11,9.4
2017-11-10,11,9.8
2017-11-11,11,5.9
2017-11-12,11,5.3
2017-11-13,11,8.4
2017-11-14,11,7.5
2017-11-15,11,3.2
2017-11-16,11,1
2017-11-17,11,3
2017-11-18,11,-2.1
2017-11-19,11,-1.6
2017-11-20,11,-0.4
2017-11-21,11,1.3
2017-11-22,11,4.3
2017-11-23,11,0.9
2017-11-24,11,-0.4
2017-11-25,11,3
2017-11-26,11,3.3
2017-11-27,11,2.5
2017-11-28,11,6.4
2017-11-29,11,3.2
2017-11-30,11,-2.4
2017-12-01,12,-2.2
2017-12-02,12,1.9
2017-12-03,12,4.9
2017-12-04,12,-1.2
2017-12-05,12,-4.2
2017-12-06,12,0.2
2017-12-07,12,0.7
2017-12-08,12,-3.8
2017-12-09,12,-0.5
2017-12-10,12,1.1
2017-12-11,12,-7
2017-12-12,12,-9.4
2017-12-13,12,-8.7
2017-12-14,12,-6.6
2017-12-15,12,-3
2017-12-16,12,-5.7
2017-12-17,12,-6.7
2017-12-18,12,-1.6
2017-12-19,12,-3.9
2017-12-20,12,-3.9
2017-12-21,12,-0.9
2017-12-22,12,3.4
2017-12-23,12,6.1
2017-12-24,12,2.9
2017-12-25,12,-2.1
2017-12-26,12,-3.8
2017-12-27,12,-6.9
2017-12-28,12,-2.1
2017-12-29,12,2.1
2017-12-30,12,1.4
2017-12-31,12,-0.3
